1	30	1	
1	31	1	
1	44	2	
1	51	1	
2	23	2	
2	59	2	
3	6	1	
3	7	1	
3	10	1	
3	12	1	
3	13	1	
3	14	1	
3	17	1	
3	18	1	
3	20	1	
3	24	1	
3	25	1	
3	26	1	
3	37	1	
3	41	1	
3	43	2	
3	45	1	
3	46	1	
3	47	1	
3	59	2	
3	60	1	
3	61	1	
5	9	1	
5	16	1	
5	22	1	
5	28	1	
5	33	1	
5	36	1	
5	39	1	
5	43	1	
5	49	1	
5	59	1	
6	7	1	
6	10	1	
6	12	1	
6	13	1	
6	14	1	
6	17	1	
6	18	1	
6	20	1	
6	24	1	
6	25	1	
6	26	1	
6	37	1	
6	41	1	
6	45	1	
6	46	1	
6	47	1	
6	60	1	
6	61	1	
7	10	1	
7	12	1	
7	13	1	
7	14	1	
7	17	1	
7	18	1	
7	20	1	
7	24	1	
7	25	1	
7	26	1	
7	37	1	
7	41	1	
7	45	1	
7	46	1	
7	47	1	
7	60	1	
7	61	1	
8	15	1	
8	27	1	
8	48	1	
8	50	1	
8	51	1	
9	16	1	
9	22	1	
9	28	1	
9	33	1	
9	36	1	
9	39	1	
9	43	1	
9	49	1	
9	59	1	
10	12	1	
10	13	1	
10	14	1	
10	17	1	
10	18	1	
10	20	1	
10	24	1	
10	25	1	
10	26	1	
10	37	1	
10	41	1	
10	45	1	
10	46	1	
10	47	1	
10	59	2	
10	60	1	
10	61	1	
11	22	2	
11	38	2	
11	51	2	
11	56	2	
12	13	1	
12	14	1	
12	17	1	
12	18	1	
12	20	1	
12	24	1	
12	25	1	
12	26	1	
12	37	1	
12	41	1	
12	45	1	
12	46	1	
12	47	1	
12	60	1	
12	61	1	
13	14	1	
13	17	1	
13	18	1	
13	20	1	
13	24	1	
13	25	1	
13	26	1	
13	37	1	
13	41	2	
13	45	1	
13	46	1	
13	47	1	
13	60	1	
13	61	1	
14	17	1	
14	18	1	
14	20	1	
14	24	1	
14	25	1	
14	26	1	
14	37	1	
14	41	1	
14	45	1	
14	46	1	
14	47	1	
14	60	1	
14	61	1	
15	27	1	
15	48	1	
15	50	1	
15	51	1	
16	22	1	
16	28	1	
16	33	1	
16	36	1	
16	39	1	
16	43	1	
16	49	1	
16	59	1	
17	18	1	
17	20	1	
17	24	1	
17	25	2	
17	26	1	
17	37	1	
17	41	1	
17	45	1	
17	46	1	
17	47	1	
17	60	1	
17	61	1	
18	20	1	
18	24	1	
18	25	1	
18	26	1	
18	37	1	
18	41	1	
18	45	1	
18	46	1	
18	47	1	
18	60	1	
18	61	1	
19	31	1	
19	32	2	
19	34	2	
19	35	1	
19	52	1	
19	59	1	
20	24	1	
20	25	1	
20	26	1	
20	37	1	
20	41	1	
20	45	1	
20	46	1	
20	47	1	
20	60	1	
20	61	1	
22	28	1	
22	33	1	
22	36	1	
22	39	1	
22	43	1	
22	49	1	
22	51	2	
22	57	2	
22	59	1	
24	25	1	
24	26	1	
24	37	1	
24	41	1	
24	45	1	
24	46	1	
24	47	1	
24	60	1	
24	61	1	
25	26	1	
25	37	1	
25	41	1	
25	45	1	
25	46	1	
25	47	1	
25	60	1	
25	61	1	
26	37	1	
26	41	1	
26	45	1	
26	46	1	
26	47	1	
26	60	1	
26	61	1	
27	48	1	
27	50	1	
27	51	1	
28	33	1	
28	36	1	
28	39	1	
28	43	1	
28	49	1	
28	51	2	
28	59	1	
30	31	1	
30	51	2	
30	58	1	
31	32	2	
31	34	2	
31	35	1	
31	52	1	
31	58	1	
31	59	1	
32	34	2	
32	35	2	
32	55	2	
33	36	1	
33	39	1	
33	43	1	
33	49	1	
33	59	1	
34	35	1	
34	52	1	
34	55	2	
34	59	1	
35	52	1	
35	55	2	
36	39	1	
36	43	1	
36	49	1	
36	59	1	
37	41	1	
37	45	1	
37	46	1	
37	47	1	
37	60	1	
37	61	1	
39	43	1	
39	49	1	
39	59	1		
41	45	1	
41	46	1	
41	47	1	
41	60	1	
41	61	1	
43	49	1	
43	59	1	
29	44	2	
45	46	1	
45	47	1	
45	60	1	
45	61	1	
46	47	1	
46	60	1	
46	61	1	
47	60	1	
47	61	1	
48	50	1	
48	51	1	
49	54	1	
49	59	1	
50	51	1	
21	51	1	
38	51	1	
51	56	2	
51	58	2	
51	59	2	
51	60	2		
56	59	2	
1	58	1	
30	59	2	
32	59	2	
59	60	1	
59	63	2	
5	60	1	
9	60	1	
11	60	2	
16	60	1	
22	60	1	
28	60	1	
33	60	1	
36	60	1	
39	60	1	
43	60	1	
49	60	1	
56	60	2	
60	61	1	
60	62	1	
3	62	1	
6	62	1	
7	62	1	
10	62	1	
12	62	1	
13	62	1	
14	62	1	
17	62	1	
18	62	1	
20	62	1	
24	62	1	
25	62	1	
26	62	1	
37	62	1	
41	62	1	
45	62	1	
46	62	1	
47	62	1	
61	62	1	
19	63	1	
31	63	1	
34	63	1	
35	63	1	
52	63	1	
2	64	2	
8	64	1	
15	64	1	
27	64	2	
48	64	1	
50	64	1	
51	64	2	
59	64	2	
60	64	2
