1	2	2
1	3	2
1	5	1
1	6	1
1	7	1
1	8	2
1	24	2
2	3	2
2	5	1
2	6	1
2	10	1
2	21	1
2	24	1
3	4	1
3	5	1
3	6	1
3	9	1
3	14	1
5	9	1
6	2	1
6	3	2
6	4	1
7	1	1
7	8	2
7	27	2
7	28	2
8	9	1
8	10	1
8	13	1
8	16	1
8	21	1
8	28	2
9	1	1
9	5	1
9	11	1
9	12	1
9	25	1
10	9	1
10	13	1
10	16	1
10	24	1
10	37	1
11	12	1
11	20	2
11	39	2
12	5	1
12	8	1
12	9	1
12	10	2
12	11	1
12	13	1
12	31	2
13	6	2
13	10	1
13	12	1
13	16	1
13	21	1
13	28	2
13	29	1
13	31	2
14	9	1
14	15	2
14	16	1
14	18	1
14	32	1
15	9	1
15	14	1
15	17	1
15	19	1
15	25	1
16	13	1
16	17	1
16	18	1
16	21	1
16	24	1
16	28	2
17	16	1
17	18	1
17	19	1
17	20	1
17	22	1
17	25	1
18	14	1
18	17	1
18	19	1
18	22	1
18	24	2
18	36	2
18	40	2
18	45	2
19	2	2
19	3	2
19	14	1
19	17	1
19	18	1
19	20	1
19	25	1
19	36	2
20	2	2
20	5	2
20	22	1
20	24	2
20	26	2
20	29	1
20	33	2
20	37	1
20	38	1
20	41	1
21	13	1
21	16	1
21	20	2
21	23	1
21	24	1
21	27	2
21	28	2
21	33	2
21	34	2
21	40	2
21	42	2
21	43	1
21	45	2
22	1	1
22	2	2
22	9	1
22	13	1
22	14	1
22	17	1
22	18	1
22	20	1
22	21	1
22	25	1
22	28	2
22	29	1
22	30	1
23	2	2
23	5	2
23	8	1
23	13	1
23	16	1
23	21	1
23	31	2
23	38	2
23	43	1
24	2	1
24	3	2
24	6	1
24	8	1
24	10	1
24	13	1
24	21	1
24	23	1
24	25	1
24	32	2
24	33	2
24	35	2
24	43	1
24	45	2
25	9	1
25	17	1
25	18	1
25	19	1
25	20	1
25	21	1
25	26	1
26	9	2
26	14	1
26	19	1
26	20	1
26	21	2
26	23	2
26	24	2
26	25	1
26	31	2
27	14	1
27	18	1
27	20	1
27	22	1
27	26	1
27	29	1
28	6	1
28	29	1
28	34	1
28	46	1
29	2	2
29	13	1
29	20	2
29	26	2
29	28	2
29	30	1
29	31	2
29	40	2
29	41	1
29	42	1
29	43	1
30	2	2
30	22	1
30	24	2
30	28	2
30	29	1
30	31	1
30	39	2
30	41	1
30	45	2
30	47	1
31	20	1
31	30	1
31	32	1
31	41	1
31	48	1
32	2	2
32	14	1
32	28	2
32	31	2
32	33	2
32	34	1
32	35	1
32	36	1
32	38	1
32	39	2
32	48	1
33	35	1
34	2	2
34	8	2
34	24	2
34	26	2
34	32	1
34	33	2
35	34	1
34	38	1
34	44	1
34	48	1
35	27	2
35	32	1
35	33	1
35	34	1
35	37	1
35	47	1
36	13	1
36	27	2
36	28	2
36	32	1
36	33	2
36	37	1
36	38	1
36	39	1
36	45	1
37	13	1
37	18	1
37	27	2
37	33	2
37	35	1
37	36	1
37	43	1
37	45	2
38	8	2
38	20	1
38	26	2
38	31	2
38	32	1
38	35	1
38	36	2
38	40	2
38	41	1
38	48	1
39	3	2
39	13	1
39	16	1
39	27	2
39	28	2
39	31	2
39	34	2
39	42	1
39	43	1
39	45	1
40	6	1
40	9	1
40	27	2
40	28	2
40	38	2
40	39	1
40	42	2
40	43	1
41	8	2
41	27	2
41	28	2
41	36	2
41	38	1
41	39	2
41	44	1
41	46	1
41	47	1
41	48	1
42	2	2
42	13	1
42	17	2
42	23	2
42	24	2
42	27	2
42	29	1
42	39	1
42	43	1
42	45	1
43	1	1
43	7	1
43	9	1
43	10	1
43	11	1
43	12	1
43	13	1
43	21	1
43	24	1
43	27	2
43	31	2
43	36	2
43	39	1
43	40	1
43	42	2
43	44	2
44	2	2
44	28	2
44	31	2
44	34	2
44	38	1
44	41	1
44	45	2
44	46	1
44	47	1
44	48	1
45	39	1
45	40	1
45	42	1
45	43	1
46	28	2
46	31	2
46	38	1
46	41	1
46	44	1
46	45	2
46	47	1
46	48	1
47	28	2
47	45	2
47	48	1
48	8	2
48	14	2
48	29	2
48	31	2
48	32	1
48	38	1
48	41	1
48	42	1
48	46	1
48	47	1
